id,type,name
1980,Year,1980
1981,Year,1981
1982,Year,1982
1983,Year,1983
1984,Year,1984
1985,Year,1985
1986,Year,1986
1987,Year,1987
1988,Year,1988
1989,Year,1989
1990,Year,1990
1991,Year,1991
1992,Year,1992
1993,Year,1993
1994,Year,1994
1995,Year,1995
1996,Year,1996
1997,Year,1997
1998,Year,1998
1999,Year,1999
2000,Year,2000
2001,Year,2001
2002,Year,2002
2003,Year,2003
2004,Year,2004
2005,Year,2005
2006,Year,2006
2007,Year,2007
2008,Year,2008
2009,Year,2009
2010,Year,2010
2011,Year,2011
2012,Year,2012
2013,Year,2013
2014,Year,2014
2015,Year,2015
2016,Year,2016
2017,Year,2017
2018,Year,2018
2019,Year,2019
2020,Year,2020
2021,Year,2021
2022,Year,2022
2023,Year,2023
2024,Year,2024
2025,Year,2025
